Código ISIN;Fecha Emisión;Fecha Vencimiento;Número de Cupón;Tasa;Sector;Path;XLSXLinks;Sector_abv;Nombre;Nombre_abv;Code
HNSEFI002120;2014-12-08;2024-12-08;1.0;0.1031;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;2.0;0.0758;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;3.0;0.0654;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;4.0;0.0644;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;5.0;0.0682;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;6.0;0.081;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;7.0;0.0797;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;8.0;0.082;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;9.0;0.0866;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
HNSEFI002120;2014-12-08;2024-12-08;10.0;0.0886;operaciones-de-mercado-abierto;operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas;['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'];OMA0;Tasa Variable Bonos Sefin;TSEFIN;OMA0TSEFIN
