Fecha;2. Importaciones FOB - Mensual
2023-12-01;4237.1
2023-09-01;4586.1
2023-06-01;4331.4
2023-03-01;4268.2
2022-12-01;4315.0
2022-09-01;4800.7
2022-06-01;4835.5
2022-03-01;4369.3
2021-12-01;4157.4
2021-09-01;3923.0
2021-06-01;3768.2
2021-03-01;3227.8
2020-12-01;2980.0
2020-09-01;2471.7
2020-06-01;1988.3
2020-03-01;2813.1
2019-12-01;3095.4
2019-09-01;3077.1
2019-06-01;2978.0
2019-03-01;2998.1
2018-12-01;3172.5
2018-09-01;3236.9
2018-06-01;3238.7
2018-03-01;2813.5
2017-12-01;2904.0
2017-09-01;3021.8
2017-06-01;2811.1
2017-03-01;2671.9
2016-12-01;2640.6
2016-09-01;2756.8
2016-06-01;2692.0
2016-03-01;2469.5
2015-12-01;2689.6
2015-09-01;2759.5
2015-06-01;2873.4
2015-03-01;2852.8
2014-12-01;2755.8
2014-09-01;2892.5
2014-06-01;2848.7
2014-03-01;2587.7
2013-12-01;2782.9
2013-09-01;2795.6
2013-06-01;2733.8
2013-03-01;2640.3
2012-12-01;2756.1
2012-09-01;2936.8
2012-06-01;2774.4
2012-03-01;2903.8
2011-12-01;2721.5
2011-09-01;2866.4
2011-06-01;2949.9
2011-03-01;2588.3
2010-12-01;2341.4
2010-09-01;2203.4
2010-06-01;2274.2
2010-03-01;2088.0
2009-12-01;1917.5
2009-09-01;1843.9
2009-06-01;1803.1
2009-03-01;1807.4
2008-12-01;2280.1
2008-09-01;2930.8
2008-06-01;2822.6
2008-03-01;2420.4
2007-12-01;2357.2
2007-09-01;2363.9
2007-06-01;2171.7
2007-03-01;1994.9
2006-12-01;1927.5
2006-09-01;1857.5
2006-06-01;1846.9
2006-03-01;1671.3
2005-12-01;1666.6
2005-09-01;1690.3
2005-06-01;1645.8
2005-03-01;1541.8
2004-12-01;1577.1
2004-09-01;1490.5
2004-06-01;1404.2
2004-03-01;1355.4
