Fecha;EP-IPC-01 - Índice;EP-IPC-01 - Variación interanual;Serie Desestacionalizada-VALORES CONSTANTES-21-Valor Agregado Bruto a precios básicos
1991-01-01;24.09;;
1991-02-01;24.88;;
1991-03-01;25.21;;
1991-04-01;26.04;;
1991-05-01;26.34;;
1991-06-01;26.81;;
1991-07-01;27.23;;
1991-08-01;27.57;;
1991-09-01;27.46;;
1991-10-01;27.73;;
1991-11-01;27.96;;
1991-12-01;28.03;;
1992-01-01;28.07;16.53;
1992-02-01;28.38;14.09;
1992-03-01;28.45;12.83;
1992-04-01;28.74;10.37;
1992-05-01;28.85;9.52;
1992-06-01;28.87;7.69;
1992-07-01;28.98;6.41;
1992-08-01;29.09;5.49;
1992-09-01;29.1;5.95;
1992-10-01;29.25;5.48;
1992-11-01;29.58;5.76;
1992-12-01;29.86;6.52;
1993-01-01;30.02;6.95;
1993-02-01;30.3;6.76;
1993-03-01;30.51;7.27;
1993-04-01;31.12;8.3;
1993-05-01;31.39;8.79;
1993-06-01;31.85;10.33;
1993-07-01;32.81;13.22;
1993-08-01;33.17;14.06;
1993-09-01;32.98;13.34;
1993-10-01;33.21;13.52;
1993-11-01;33.53;13.37;
1993-12-01;33.74;13.02;
1994-01-01;34.21;13.98;
1994-02-01;35.24;16.31;
1994-03-01;35.6;16.67;
1994-04-01;36.59;17.57;
1994-05-01;38.03;21.16;
1994-06-01;38.8;21.83;
1994-07-01;39.86;21.48;
1994-08-01;40.71;22.71;
1994-09-01;40.97;24.22;
1994-10-01;41.68;25.49;
1994-11-01;42.97;28.16;
1994-12-01;43.5;28.91;
1995-01-01;44.74;30.78;
1995-02-01;46.96;33.23;
1995-03-01;47.62;33.76;
1995-04-01;48.84;33.48;
1995-05-01;49.73;30.77;
1995-06-01;50.19;29.33;
1995-07-01;50.86;27.61;
1995-08-01;51.54;26.6;
1995-09-01;52.59;28.37;
1995-10-01;53.57;28.54;
1995-11-01;54.32;26.39;
1995-12-01;55.15;26.79;
1996-01-01;55.43;23.88;
1996-02-01;57.0;21.39;
1996-03-01;57.89;21.55;
1996-04-01;59.08;20.97;
1996-05-01;60.31;21.28;
1996-06-01;61.83;23.21;
1996-07-01;63.25;24.36;
1996-08-01;65.01;26.15;
1996-09-01;66.12;25.71;
1996-10-01;67.09;25.23;
1996-11-01;68.43;25.97;
1996-12-01;69.12;25.32;
1997-01-01;70.56;27.29;
1997-02-01;72.3;26.84;
1997-03-01;72.85;25.86;
1997-04-01;73.28;24.03;
1997-05-01;74.2;23.04;
1997-06-01;75.15;21.54;
1997-07-01;76.2;20.48;
1997-08-01;77.15;18.67;
1997-09-01;77.39;17.06;
1997-10-01;77.19;15.05;
1997-11-01;77.78;13.67;
1997-12-01;77.94;12.77;
1998-01-01;78.59;11.39;
1998-02-01;80.54;11.4;
1998-03-01;81.9;12.42;
1998-04-01;83.32;13.71;
1998-05-01;84.32;13.63;
1998-06-01;85.8;14.16;
1998-07-01;87.49;14.81;
1998-08-01;87.62;13.58;
1998-09-01;87.88;13.55;
1998-10-01;88.38;14.49;
1998-11-01;89.49;15.06;
1998-12-01;90.14;15.65;
1999-01-01;91.7;16.66;
1999-02-01;92.5;14.82;
1999-03-01;92.8;13.25;
1999-04-01;93.1;11.7;
1999-05-01;93.8;11.25;
1999-06-01;94.9;10.64;
1999-07-01;95.7;9.33;
1999-08-01;96.4;10.06;
1999-09-01;97.1;10.53;
1999-10-01;98.0;10.92;
1999-11-01;99.0;10.59;
1999-12-01;100.0;10.94;
2000-01-01;100.5;9.61;
2000-02-01;102.0;10.32;
2000-03-01;103.0;11.03;23792.5
2000-04-01;104.3;12.02;
2000-05-01;105.3;12.2;
2000-06-01;106.3;12.02;23878.1
2000-07-01;107.0;11.89;
2000-08-01;107.5;11.48;
2000-09-01;107.7;10.91;24375.5
2000-10-01;108.3;10.52;
2000-11-01;109.5;10.64;
2000-12-01;110.1;10.1;24489.7
2001-01-01;111.1;10.55;
2001-02-01;112.5;10.29;
2001-03-01;113.5;10.19;24646.1
2001-04-01;114.2;9.49;
2001-05-01;115.6;9.78;
2001-06-01;116.3;9.41;24731.7
2001-07-01;116.9;9.25;
2001-08-01;117.7;9.49;
2001-09-01;118.6;10.12;24676.3
2001-10-01;118.8;9.7;
2001-11-01;119.4;9.04;
2001-12-01;119.8;8.81;25190.1
2002-01-01;120.2;8.19;
2002-02-01;121.5;8.0;
2002-03-01;122.2;7.67;24997.2
2002-04-01;123.1;7.79;
2002-05-01;123.7;7.01;
2002-06-01;125.1;7.57;25807.7
2002-07-01;126.1;7.87;
2002-08-01;126.9;7.82;
2002-09-01;127.1;7.17;26274.4
2002-10-01;127.8;7.58;
2002-11-01;128.6;7.71;
2002-12-01;129.5;8.1;25870.9
2003-01-01;130.6;8.65;
2003-02-01;132.3;8.89;
