Grupo;N_Variables;Niv_Gr_1;Niv_Gr_2;Niv_Gr_3;Niv_Gr_4;Niv_Gr_5;Niv_Gr
ESR-PIBT-PROD-OG-CONST;17;ESR;PIBT;PROD;OG;CONST;5
ESR-PIBT-PROD-DES-CONST;17;ESR;PIBT;PROD;DES;CONST;5
ESR-PIBT-PROD-DES-CORR;17;ESR;PIBT;PROD;DES;CORR;5
ESR-PIBT-PROD-OG-CORR;17;ESR;PIBT;PROD;OG;CORR;5
ESR-PIBT-GAST-OG-CORR;7;ESR;PIBT;GAST;OG;CORR;5
ESR-PIBT-GAST-OG-CONST;7;ESR;PIBT;GAST;OG;CONST;5
ESR-PIBT-GAST-DES-CONST;7;ESR;PIBT;GAST;DES;CONST;5
ESR-PIBT-GAST-DES-CORR;7;ESR;PIBT;GAST;DES;CORR;5
ESR-PIBT-TDC-Valores;1;ESR;PIBT;TDC;Valores;;4
EOM-OMA-01;5560;EOM;OMA;01;;;3
ESR-COU-01;3608;ESR;COU;01;;;3
ESE-DE-03;672;ESE;DE;03;;;3
ESR-CCI-01;371;ESR;CCI;01;;;3
ESE-BP-01;182;ESE;BP;01;;;3
ESE-CEB-04;159;ESE;CEB;04;;;3
ESR-ODA-01;94;ESR;ODA;01;;;3
ESE-CEB-03;93;ESE;CEB;03;;;3
ESR-PIBA-01;84;ESR;PIBA;01;;;3
ESE-CEB-01;66;ESE;CEB;01;;;3
ESR-VAB-02;64;ESR;VAB;02;;;3
ESR-VAB-01;56;ESR;VAB;01;;;3
ESE-DE-04;55;ESE;DE;04;;;3
EMF-AMCC-01;46;EMF;AMCC;01;;;3
ESR-IMAE-01;39;ESR;IMAE;01;;;3
ESE-IES-01;28;ESE;IES;01;;;3
ESE-CEB-02;21;ESE;CEB;02;;;3
EMF-TI-02;20;EMF;TI;02;;;3
ESR-PIBA-02;18;ESR;PIBA;02;;;3
ESE-PII-01;17;ESE;PII;01;;;3
EMF-AMCC-02;16;EMF;AMCC;02;;;3
EMF-AMCC-05;14;EMF;AMCC;05;;;3
EMF-AMCC-06;14;EMF;AMCC;06;;;3
ESE-IED-01;10;ESE;IED;01;;;3
EMF-TI-03;10;EMF;TI;03;;;3
ESR-PIBA-03;10;ESR;PIBA;03;;;3
EM-RIN-01;10;EM;RIN;01;;;3
EMF-PFS-02;9;EMF;PFS;02;;;3
EMF-TI-01;8;EMF;TI;01;;;3
EOM-OMA-04;6;EOM;OMA;04;;;3
EOM-OMA-02;6;EOM;OMA;02;;;3
ESE-DE-02;6;ESE;DE;02;;;3
EMF-AMCC-03;6;EMF;AMCC;03;;;3
EMF-EBM-01;6;EMF;EBM;01;;;3
ESR-PIBA-04;6;ESR;PIBA;04;;;3
EMF-AMCC-04;6;EMF;AMCC;04;;;3
ESP-CCECH-01;4;ESP;CCECH;01;;;3
ESP-ACH-01;4;ESP;ACH;01;;;3
ESE-DE-01;4;ESE;DE;01;;;3
EOM-OMA-03;3;EOM;OMA;03;;;3
EP-IPC-01;3;EP;IPC;01;;;3
EMF-PFS-01;3;EMF;PFS;01;;;3
EM-TPM-01;2;EM;TPM;01;;;3
EC-TCN-01;2;EC;TCN;01;;;3
EC-TCR;1;EC;TCR;;;;2
