Grupo;Periodicidad;Conteo;Gr1;Gr2;Gr3;Gr4;Gr5
EOM-OMA-01;Diario;5560;EOM;OMA;01;;
ESR-COU-01;Anual;3608;ESR;COU;01;;
ESE-DE-03;Trimestral;672;ESE;DE;03;;
ESR-CCI-01;Anual;371;ESR;CCI;01;;
ESE-CEB-04;Trimestral;159;ESE;CEB;04;;
ESR-ODA-01;Anual;94;ESR;ODA;01;;
ESE-CEB-03;Trimestral;93;ESE;CEB;03;;
ESE-BP-01;Trimestral;91;ESE;BP;01;;
ESE-BP-01;Anual;91;ESE;BP;01;;
ESR-PIBA-01;Anual;84;ESR;PIBA;01;;
ESR-VAB-02;Anual;64;ESR;VAB;02;;
ESR-VAB-01;Anual;56;ESR;VAB;01;;
ESE-DE-04;Trimestral;55;ESE;DE;04;;
EMF-AMCC-01;Mensual;46;EMF;AMCC;01;;
ESR-IMAE-01;Mensual;39;ESR;IMAE;01;;
ESE-CEB-01;Trimestral;33;ESE;CEB;01;;
ESE-CEB-01;Anual;33;ESE;CEB;01;;
ESE-IES-01;Trimestral;28;ESE;IES;01;;
ESE-CEB-02;Mensual;21;ESE;CEB;02;;
EMF-TI-02;Mensual;20;EMF;TI;02;;
ESR-PIBA-02;Anual;18;ESR;PIBA;02;;
ESR-PIBT-PROD-DES-CORR;Trimestral;17;ESR;PIBT;PROD;DES;CORR
ESR-PIBT-PROD-OG-CORR;Trimestral;17;ESR;PIBT;PROD;OG;CORR
ESR-PIBT-PROD-OG-CONST;Trimestral;17;ESR;PIBT;PROD;OG;CONST
ESR-PIBT-PROD-DES-CONST;Trimestral;17;ESR;PIBT;PROD;DES;CONST
ESE-PII-01;Trimestral;17;ESE;PII;01;;
EMF-AMCC-02;Mensual;16;EMF;AMCC;02;;
EMF-AMCC-05;Mensual;14;EMF;AMCC;05;;
EMF-AMCC-06;Mensual;14;EMF;AMCC;06;;
ESR-PIBA-03;Anual;10;ESR;PIBA;03;;
ESE-IED-01;Trimestral;10;ESE;IED;01;;
EM-RIN-01;Mensual;10;EM;RIN;01;;
EMF-TI-03;Mensual;10;EMF;TI;03;;
EMF-PFS-02;Mensual;9;EMF;PFS;02;;
EMF-TI-01;Mensual;8;EMF;TI;01;;
ESR-PIBT-GAST-OG-CONST;Trimestral;7;ESR;PIBT;GAST;OG;CONST
ESR-PIBT-GAST-DES-CORR;Trimestral;7;ESR;PIBT;GAST;DES;CORR
ESR-PIBT-GAST-OG-CORR;Trimestral;7;ESR;PIBT;GAST;OG;CORR
ESR-PIBT-GAST-DES-CONST;Trimestral;7;ESR;PIBT;GAST;DES;CONST
ESR-PIBA-04;Anual;6;ESR;PIBA;04;;
EMF-EBM-01;Mensual;6;EMF;EBM;01;;
EMF-AMCC-03;Mensual;6;EMF;AMCC;03;;
EMF-AMCC-04;Mensual;6;EMF;AMCC;04;;
EOM-OMA-02;Diario;6;EOM;OMA;02;;
EOM-OMA-04;Diario;6;EOM;OMA;04;;
ESE-DE-02;Trimestral;6;ESE;DE;02;;
ESP-ACH-01;Mensual;4;ESP;ACH;01;;
ESP-CCECH-01;Mensual;4;ESP;CCECH;01;;
ESE-DE-01;Mensual;4;ESE;DE;01;;
EP-IPC-01;Mensual;3;EP;IPC;01;;
EMF-PFS-01;Mensual;3;EMF;PFS;01;;
EOM-OMA-03;Diario;3;EOM;OMA;03;;
EC-TCN-01;Diario;2;EC;TCN;01;;
EC-TCR;Diario;1;EC;TCR;;;
ESR-PIBT-TDC-Valores;Trimestral;1;ESR;PIBT;TDC;Valores;
EM-TPM-01;Diario;1;EM;TPM;01;;
EM-TPM-01;Mensual;1;EM;TPM;01;;
