Sector,Path,XLSXLinks,Sector_abv,Nombre,Nombre_abv,Code
estadisticas-cambiarias,estadisticas-cambiarias/resultados-diarios-de-la-subasta-de-divisas,['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP%20Negociaciones%20Diarias.xlsx'],EC00,TCPP Negociaciones Diarias,ND,EC00ND
estadisticas-cambiarias,estadisticas-cambiarias/resultados-diarios-del-mid,['https://www.bch.hn/operativos/INTL/Series%20pblicas/TCPP-Mercado%20Interbancario%20de%20Divisas.xlsx'],EC00,TCPP-Mercado Interbancario de Divisas,MINTBD,EC00MINTBD
estadisticas-cambiarias,estadisticas-cambiarias/resultados-diarios-del-tcr,['https://www.bch.hn/operativos/INTL/Series%20pblicas/Tipo%20de%20Cambio%20de%20Referencia.xlsx'],EC00,Tipo de Cambio de Referencia,REF,EC00REF
estadisticas-cambiarias,estadisticas-cambiarias/ingreso-y-egreso-de-divisas-de-los-agentes-cambiarios,['https://www.bch.hn/operativos/INTL/Series%20pblicas/Ingreso%20y%20Egreso%20de%20Divisas%20AC.xlsx'],EC00,Ingreso y Egreso de Divisas AC,IGEGD1,EC00IGEGD1
estadisticas-cambiarias,estadisticas-cambiarias/remesas-familiares-departamento,['https://www.bch.hn/operativos/INTL/Series%20pblicas/Remesas%20Familiares%20por%20Departamento.xlsx'],EC00,Remesas Familiares por Departamento,RFDEP,EC00RFDEP
estadisticas-cambiarias,estadisticas-cambiarias/remesas-familiares-pais-origen,['https://www.bch.hn/operativos/INTL/Series%20pblicas/Remesas%20Familiares%20por%20Pa%C3%ADs.xlsx'],EC00,Remesas Familiares por País,RFORG,EC00RFORG
estadisticas-cambiarias,estadisticas-cambiarias/balanza-cambiaria,['https://www.bch.hn/operativos/INTL/Series%20pblicas/Balanza%20Cambiaria.xlsx'],EC00,Balanza Cambiaria,BALCAM,EC00BALCAM
estadisticas-cambiarias,estadisticas-cambiarias/tasas-internacionales-de-referencia,['https://www.bch.hn/operativos/INTL/Series%20pblicas/Tasas%20IO.xlsx'],EC00,Tasas IO,TIO,EC00TIO
estadisticas-cambiarias,estadisticas-cambiarias/principales-monedas,['https://www.bch.hn/operativos/INTL/Series%20pblicas/Cotizaci%C3%B3n%20Principales%20Monedas.xlsx'],EC00,Cotización Principales Monedas,CPMON,EC00CPMON
sistema-de-pagos,sistema-de-pagos/estadisticas-bch-tr,['https://www.bch.hn/operativos/SP/Series%20pblicas/BCH-TR.xlsx'],SPAG,BCH-TR,BCHTR,SPAGBCHTR
sistema-de-pagos,sistema-de-pagos/estadisticas-camara-de-compensacion-(ccech),['https://www.bch.hn/operativos/SP/Series%20pblicas/CCECH.xlsx'],SPAG,CCECH,CCECH,SPAGCCECH
sistema-de-pagos,sistema-de-pagos/estadisticas-camara-de-compensacion-de-transacciones-(ach-pronto),['https://www.bch.hn/operativos/SP/Series%20pblicas/ACH%20PRONTO.xlsx'],SPAG,ACH PRONTO,ACHP,SPAGACHP
tipo-de-cambio,tipo-de-cambio/tipo-de-cambio-nominal,['https://www.bch.hn/estadisticos/GIE/Series%20pblicas/Precio%20Diario%20del%20D%C3%B3lar-EUA.xlsx'],TC00,Precio Diario del Dólar-EUA,PDDEUA,TC00PDDEUA
tipo-de-cambio,tipo-de-cambio/indice-del-tipo-de-cambio-efectivo-real,['https://www.bch.hn/estadisticos/GIE/Series%20pblicas/%C3%8Dndice%20del%20Tipo%20de%20Cambio%20Efectivo%20Real.xlsx'],TC00,Índice del Tipo de Cambio Efectivo Real,ITCER,TC00ITCER
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/subasta-diaria,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Informaci%C3%B3n%20Subasta%20Diaria.xlsx'],OMA0,Información Subasta Diaria,INFSBD,OMA0INFSBD
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/subasta-estructural,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Informaci%C3%B3n%20Subasta%20Estructural.xlsx'],OMA0,Información Subasta Estructural,INFSET,OMA0INFSET
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/subasta-de-bonos-del-bch,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Informaci%C3%B3n%20Subasta%20bonos%20BCH.xlsx'],OMA0,Información Subasta bonos BCH,INFSB,OMA0INFSB
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/operaciones-reporto-con-bch,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Operaciones%20de%20Reporto.xlsx'],OMA0,Operaciones de Reporto,OREPO,OMA0OREPO
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/facilidades-permanentes-inversion-y-credito,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Facilidades%20permanentes.xlsx'],OMA0,Facilidades permanentes,FPERM,OMA0FPERM
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/mesa-electronica-de-dinero,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Informaci%C3%B3n%20MED.xlsx'],OMA0,Información MED,INFMED,OMA0INFMED
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/subasta-de-bonos-de-secretaria-finanzas,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Bonos%20de%20Sefin.xlsx'],OMA0,Bonos de Sefin,BSEFIN,OMA0BSEFIN
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/tasa-variable-de-bonos-secretaria-finanzas,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20Sefin.xlsx'],OMA0,Tasa Variable Bonos Sefin,TSEFIN,OMA0TSEFIN
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/tasa-variable-de-bonos-de-enee,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Tasa%20Variable%20Bonos%20ENEE.xlsx'],OMA0,Tasa Variable Bonos ENEE,TENEE,OMA0TENEE
operaciones-de-mercado-abierto,operaciones-de-mercado-abierto/operaciones-mercado-secundario,['https://www.bch.hn/operativos/OPM/Series%20pblicas/Operaciones%20de%20Mercado%20Secundario.xlsx'],OMA0,Operaciones de Mercado Secundario,OMSEC,OMA0OMSEC
precios,precios/indice-precios-consumidor,['https://www.bch.hn/estadisticos/GIE/Series%20pblicas/%C3%8Dndice%20de%20Precios%20al%20Consumidor.xlsx'],P000,Índice de Precios al Consumidor,IPC,P000IPC
precios,precios/indice-precios-consumidor-rubro,['https://www.bch.hn/estadisticos/GIE/Series%20pblicas/%C3%8Dndice%20de%20Precios%20al%20Consumidor%20por%20rubros.xlsx'],P000,Índice de Precios al Consumidor por rubros,IPCR,P000IPCR
precios,precios/indice-precios-consumidor-region,['https://www.bch.hn/estadisticos/GIE/Series%20pblicas/%C3%8Dndice%20de%20Precios%20al%20Consumidor%20por%20regi%C3%B3n.xlsx'],P000,Índice de Precios al Consumidor por región,IPCREG,P000IPCREG
precios,precios/indice-subyacente-inflacion,['https://www.bch.hn/estadisticos/GIE/Series%20pblicas/%C3%8Dndice%20de%20Inflaci%C3%B3n%20Subyacente.xlsx'],P000,Índice de Inflación Subyacente,IIFSUB,P000IIFSUB
sector-monetario,sector-monetario/tasa-de-polItica-monetaria,['https://www.bch.hn/estadisticos/AM/Series%20Pblicas/Tasa%20de%20Pol%C3%ADtica%20Monetaria.xlsx'],M000,Tasa de Política Monetaria,TPM,M000TPM
sector-monetario,sector-monetario/tasas-anuales-interes-promedio-ponderado-sobre-operaciones-nuevas,['https://www.bch.hn/estadisticos/AM/Series%20Pblicas/Tasa%20Anuales%20de%20Inter%C3%A9s%20sobre%20Operaciones%20Nuevas.xlsx'],M000,Tasa Anuales de Interés sobre Operaciones Nuevas,TINON,M000TINON
sector-monetario,sector-monetario/tasas-anuales-interes-promedio-ponderado-sobre-operaciones-nuevas-por-actividad-economica,['https://www.bch.hn/estadisticos/AM/Series%20Pblicas/Tasas%20sobre%20Operaciones%20Nuevas%20Actividad%20Econ%C3%B3mica.xlsx'],M000,Tasas sobre Operaciones Nuevas Actividad Económica,TONAE,M000TONAE
sector-monetario,sector-monetario/tasa-interes-promedio-ponderado-activas-pasivas-sobre-saldos-sf,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Tasas%20Saldos%20Sistema%20Financiero.xlsx'],M000,Tasas Saldos Sistema Financiero,TSLSF,M000TSLSF
